Cantidad,t_HC_ID,t_HC_SN,t_HA_ID,t_HA_SN,t_BST_ID,t_BTS_SN,s_HC_ID,s_HC_SN,s_HA_ID,s_HA_SN,s_BST_ID,s_BTS_SN
1000,45,36,149,117,61,69,9461429,26672,26672,40008,40008,24000,24000
5000,236,181,282,174,405,491,60762322,133344,133344,200016,200016,120000,120000
10000,444,386,501,351,1150,1876,115794020,266672,266672,400008,400008,240000,240000
15000,689,560,782,537,1704,2070,171133622,400016,400016,600024,600024,360000,360000
20000,899,756,1058,726,2529,3401,225267886,533344,533344,800016,800016,480000,480000
30000,1394,1125,1960,1928,5259,6427,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,35,118,92,57,65,9461429,26672,26672,40008,40008,24000,24000
5000,241,182,328,177,421,500,60762322,133344,133344,200016,200016,120000,120000
10000,447,385,504,359,1173,1842,115794020,266672,266672,400008,400008,240000,240000
15000,706,653,885,544,1734,2177,171133622,400016,400016,600024,600024,360000,360000
20000,916,765,1025,843,2671,3106,225267886,533344,533344,800016,800016,480000,480000
30000,1455,1126,1760,1972,5025,5745,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,36,128,103,56,64,9461429,26672,26672,40008,40008,24000,24000
5000,226,181,260,195,406,491,60762322,133344,133344,200016,200016,120000,120000
10000,434,382,592,368,1152,1788,115794020,266672,266672,400008,400008,240000,240000
15000,693,568,830,552,1731,2048,171133622,400016,400016,600024,600024,360000,360000
20000,902,775,1041,721,2642,3047,225267886,533344,533344,800016,800016,480000,480000
30000,1519,1229,1863,1746,5128,6065,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,34,120,117,61,65,9461429,26672,26672,40008,40008,24000,24000
5000,299,183,311,188,409,558,60762322,133344,133344,200016,200016,120000,120000
10000,509,446,512,349,1195,1950,115794020,266672,266672,400008,400008,240000,240000
15000,690,563,778,554,1749,2179,171133622,400016,400016,600024,600024,360000,360000
20000,912,757,1008,798,3160,3068,225267886,533344,533344,800016,800016,480000,480000
30000,1635,1199,1791,1750,5196,8025,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,34,112,85,56,71,9461429,26672,26672,40008,40008,24000,24000
5000,244,203,257,313,481,524,60762322,133344,133344,200016,200016,120000,120000
10000,438,430,561,453,1196,1987,115794020,266672,266672,400008,400008,240000,240000
15000,674,565,934,533,1872,2215,171133622,400016,400016,600024,600024,360000,360000
20000,880,726,1017,703,2348,2771,225267886,533344,533344,800016,800016,480000,480000
30000,1373,1114,1746,1748,5484,7492,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,84,63,57,65,9461429,26672,26672,40008,40008,24000,24000
5000,222,178,252,185,408,498,60762322,133344,133344,200016,200016,120000,120000
10000,439,361,522,347,1138,1803,115794020,266672,266672,400008,400008,240000,240000
15000,738,562,731,541,1691,1993,171133622,400016,400016,600024,600024,360000,360000
20000,992,729,1017,710,2390,2795,225267886,533344,533344,800016,800016,480000,480000
30000,1384,1090,1736,1644,4861,6268,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,35,70,53,53,64,9461429,26672,26672,40008,40008,24000,24000
5000,223,178,246,173,411,476,60762322,133344,133344,200016,200016,120000,120000
10000,449,363,496,346,1386,1791,115794020,266672,266672,400008,400008,240000,240000
15000,676,538,743,540,1724,1977,171133622,400016,400016,600024,600024,360000,360000
20000,884,741,994,722,2432,2821,225267886,533344,533344,800016,800016,480000,480000
30000,1342,1100,1712,1735,4714,5994,337987014,800016,800016,1200024,1200024,720000,720000
1000,43,34,69,52,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,234,177,244,280,413,504,60762322,133344,133344,200016,200016,120000,120000
10000,448,361,482,357,1118,1735,115794020,266672,266672,400008,400008,240000,240000
15000,662,563,731,516,1677,2046,171133622,400016,400016,600024,600024,360000,360000
20000,887,738,1043,693,2403,2770,225267886,533344,533344,800016,800016,480000,480000
30000,1345,1139,1786,1803,4581,5298,337987014,800016,800016,1200024,1200024,720000,720000
1000,51,34,82,55,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,244,190,255,171,400,484,60762322,133344,133344,200016,200016,120000,120000
